Torre;Nombre Componente;Tipo de evento;Descripci�n Error;Solución
BDD;"precwwa067";CPU Saturation;CPU Saturation AIX DCA;"1. Ingresamos al cyberark.2. Buscamos el nombre del servidor para poder ingresar.3. Mediante un IDE nos conectamos a la base de datos PROD con la conexi�n PROD_EBS.                                                                                                                                                                                         4. Ejecutamos un query para validar que no se est� ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5. Ejecutamos un query para validar que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los  querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si no existe la ejecuci�n de estos querys y la alerta persiste m�s de 1 hora reportar a bdd. 
Nota: Los servidores del Dca no tienen los mismos recursos que el dcp por lo cual permanecen alertados y sincroniza con DCP es un evento controlado.";
BDD;ecbpbbdp1;CPU Saturation;CPU Saturation AIX DCP;"1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar.
3. Mediante un IDE nos conectamos a la base de datos PROD con la conexi�n PROD_EBS.                                                                                                                                                                                         4. Ejecutamos un query para validar que no se est� ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5, Ejecutamos un query para validar que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los  querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si no existe la ejecuci�n de estos querys y el evento  persiste m�s de 15 minutos notificar a BDD.
Nota: Si el cpu se eleva por m�s de 5 minutos al 97% reportar de inmediato a bdd caso contrario cerrar como evento controlado ya como evento controlado ya que las alertas en la noche se dan por ejecucion del batch";
BDD;DRECXDB003;Networking;High network utilizaci�n;"1 Ingresar al servidor mediante cyberark
2. Buscamos el nombre del servidor para poder ingresar.
3. Identificar los procesos que consumen mayor cantidad de red ejecutando el siguiente query 
/*
Select * FROM GV$SESSION WHERE 0=1;
with ps as
     (select inst_id, sid, serial#, qcsid, qcserial#
      from   GV$px_session
      where  qcserial# is not null)
Select PS.QCSID as parent_session_sid, PS.QCSERIAL# as parent_session_serial, PS.inst_id as parent_session_instid, s.INST_ID, rawtohex(s.SADDR) as SADDR, s.SID, s.SERIAL#, s.AUDSID, rawtohex(s.PADDR) as PADDR, s.USER#, s.USERNAME, s.COMMAND, s.OWNERID, s.TADDR, s.LOCKWAIT, s.STATUS, s.SERVER, s.SCHEMA#, s.SCHEMANAME, TO_SINGLE_BYTE(s.OSUSER) as OSUSER, s.PROCESS, TO_SINGLE_BYTE(s.MACHINE) as MACHINE, s.PORT, s.TERMINAL, UPPER(s.PROGRAM) PROGRAM, s.TYPE, s.SQL_ADDRESS, s.SQL_HASH_VALUE, s.SQL_ID, s.SQL_CHILD_NUMBER, s.SQL_EXEC_START, s.SQL_EXEC_ID, s.PREV_SQL_ADDR, s.PREV_HASH_VALUE, s.PREV_SQL_ID, s.PREV_CHILD_NUMBER, s.PREV_EXEC_START, s.PREV_EXEC_ID, s.PLSQL_ENTRY_OBJECT_ID, s.PLSQL_ENTRY_SUBPROGRAM_ID, s.PLSQL_OBJECT_ID, s.PLSQL_SUBPROGRAM_ID, s.MODULE, s.MODULE_HASH, substr(TO_SINGLE_BYTE(s.ACTION), 1, 64) as ACTION, s.ACTION_HASH, s.CLIENT_INFO, s.FIXED_TABLE_SEQUENCE, s.ROW_WAIT_OBJ#, s.ROW_WAIT_FILE#, s.ROW_WAIT_BLOCK#, s.ROW_WAIT_ROW#, s.TOP_LEVEL_CALL#, s.LOGON_TIME, s.LAST_CALL_ET, s.PDML_ENABLED, s.FAILOVER_TYPE, s.FAILOVER_METHOD, s.FAILED_OVER, s.RESOURCE_CONSUMER_GROUP, s.PDML_STATUS, s.PDDL_STATUS, s.PQ_STATUS, s.CURRENT_QUEUE_DURATION, s.CLIENT_IDENTIFIER, s.BLOCKING_SESSION_STATUS, s.BLOCKING_INSTANCE, s.BLOCKING_SESSION, s.FINAL_BLOCKING_SESSION_STATUS, s.FINAL_BLOCKING_INSTANCE, s.FINAL_BLOCKING_SESSION, s.SEQ#, s.EVENT#, s.EVENT, s.P1TEXT, s.P1, s.P1RAW, s.P2TEXT, s.P2, s.P2RAW, s.P3TEXT, s.P3, s.P3RAW, s.WAIT_CLASS_ID, s.WAIT_CLASS#, s.WAIT_CLASS, s.WAIT_TIME, s.SECONDS_IN_WAIT, s.STATE, s.WAIT_TIME_MICRO, s.TIME_REMAINING_MICRO, s.TIME_SINCE_LAST_WAIT_MICRO, s.SERVICE_NAME, s.SQL_TRACE, s.SQL_TRACE_WAITS, s.SQL_TRACE_BINDS, s.SQL_TRACE_PLAN_STATS, s.SESSION_EDITION_ID, s.CREATOR_ADDR, s.CREATOR_SERIAL#, s.ECID, s.SQL_TRANSLATION_PROFILE_ID, s.PGA_TUNABLE_MEM, s.SHARD_DDL_STATUS, s.CON_ID, s.EXTERNAL_NAME, s.PLSQL_DEBUGGER_CONNECTED, stat.cpu  - stat.CPU_this_call_start cpu_this_call, stat.CPU, stat.UGA_memory, stat.PGA_memory, stat.Commits, stat.Rollbacks, p.program  ""OSProgram"", p.spid, p.pid
FROM GV$SESSION S, PS, GV$PROCESS p, 
     (select ss.inst_id stat_inst_id, ss.sid stat_sid,
             sum(decode(sn.name, 'CPU used when call started', ss.value, 0)) CPU_this_call_start,
             sum(decode(sn.name, 'CPU used by this session', ss.value, 0)) CPU,
             sum(decode(sn.name, 'session uga memory', ss.value, 0)) uga_memory,
             sum(decode(sn.name, 'session pga memory', ss.value, 0)) pga_memory,
             sum(decode(sn.name, 'user commits', ss.value, 0)) commits,
             sum(decode(sn.name, 'user rollbacks', ss.value, 0)) rollbacks
      from   GV$sesstat ss, GV$statname sn
      where  ss.STATISTIC# = sn.STATISTIC#
      and    ss.inst_id = sn.inst_id
      and    (sn.name = 'CPU used when call started' or
              sn.name = 'CPU used by this session' or
              sn.name = 'session uga memory' or
              sn.name = 'session pga memory' or
              sn.name = 'user commits' or
              sn.name = 'user rollbacks')
      group by ss.inst_id, ss.sid) stat
 WHERE 
(
s.STATUS = 'ACTIVE'
) AND  ( (s.USERNAME is not null) and (NVL(s.osuser,'x') <> 'SYSTEM') and (s.type <> 'BACKGROUND') ) 
and  p.addr(+) = s.paddr AND p.inst_id(+) = s.inst_id 
and  stat.stat_inst_id = s.inst_id and stat.stat_sid = s.sid 
and  PS.SID (+) = S.SID AND PS.SERIAL# (+) = S.SERIAL# and PS.INST_ID (+) = S.INST_ID 
order by MODULE, OWNERID; */
3. al ejecutar el script se verificara que se tiene sessiones ingresando a la base de datos 
Nota omitir la alerta ya que en el dca los recueros son minimos y es una alerta contrada  si la alerta persiste mas de 1 hora reportar a bdd ";
BDD;ECBPEBSP7;Bloqueo de sesiones;BLOQUEO DE SESIONES;"1 Ingresar al servidor mediante cyberark
2. Buscamos el nombre del servidor para poder ingresar.
3.ejecutamos el siguiente query para verificar si existen bloqueos 
select s1.username || '@' || s1.machine
|| ' ( THIS SID=' || s1.sid || ' )  is blocking '
|| s2.username || '@' || s2.machine || ' ( SID=' || s2.sid || ' ) ' AS blocking_status
from gv$lock l1, gv$session s1, gv$lock l2, gv$session s2
where s1.sid=l1.sid and s2.sid=l2.sid
and l1.BLOCK=1 and l2.request > 0
and l1.id1 = l2.id1
and l2.id2 = l2.id2 ;
4. En caso de que el SID BLOQUEANTE sea el mismo m�s de 15 minutos, notificar a BDD.caso contrario cerrar como evento controlado
";
BDD;ecbpebsp1;Memory Saturation;Saturation de Memoria;"1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar como ssh
3. En una consola del servidor ejecutamos el comando ""topas"".                                                                                                                                                                                   
4. Visualizamos en la parte derecha el porcentaje de memoria computacional (% Comp).
5. Si la memoria se eleva por m�s de 5 minutos al 97% reportar de inmediato a bdd, caso contrario.
6. Si el porcentaje es mayor al 93% y el evento persiste m�s de 15 minutos notificar a BDD, caso contrario el evento se recupera autom�ticamente.
nota cerrar como evento controlado ya que las alertas en la noche se dan por ejecucion del batch";
BDD;ECBPEBSP7;Memory Saturation;Saturation de Memoria;"1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar como ssh
3. En una consola del servidor ejecutamos el comando ""topas"".                                                                                                                                                                                   
 4. Visualizamos en la parte derecha el porcentaje de memoria computacional (% Comp). Si el porcentaje es mayor al 93% y el evento persiste m�s de 15 minutos notificar a BDD.
Nota: El evento que presenta por saturacion de memoria en dynatrace  no es la real se debe verificar el dashbord de unix el cual toma  la memoria computacional, si se encuentra en rojo, reportar, caso contrario cerrar indicando que es un evento controlado y no reporta la memoria real https://xyc10065.live.dynatrace.com/index.jsp?state=W5OHiIGFgThLgMK_4bTMuLyC81C6RRzc95p8TRdR4L0&code=2679782c-1aab-46f4-8246-bce697239142#dashboard;gtf=-10m;gf=all;id=3e82d414-3faa-4997-ae73-fc014376add0";
BDD;TSECXDB010;Memory Saturation;Memory Saturation;"1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar como ssh
3. En una consola del servidor ejecutamos el comando ""topas"".                                                                                                                                                                                   
 4. Visualizamos en la parte derecha el porcentaje de memoria computacional (% Comp). Si el porcentaje es mayor al 93% y el evento persiste m�s de 15 minutos notificar a BDD.
Nota: el evento que procede de saturacion de memoria en los nodos PRECXDB004 yPRECXDB005 son por ejecucion de flash copy de bancs en la noche el cual baja todos los servicio y por ende todas las alertas del dynatrace que al momento de subir nuevamente grafica como que fuera alertado el mismo que es controlado si existe una desconexion del dynatrace en el dia el evento se disparara nuevamente validar la memoria computacional del dyboard en caso de superar 90% elevar a bdd";
BDD;PRECXDB004;Memory Saturation;Memory Saturation;"1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar como ssh
3. En una consola del servidor ejecutamos el comando ""topas"".                                                                                                                                                                                   
 4. Visualizamos en la parte derecha el porcentaje de memoria computacional (% Comp). Si el porcentaje es mayor al 93% y el evento persiste m�s de 15 minutos notificar a BDD.
Nota: el evento que procede de saturacion de memoria en los nodos PRECXDB004 yPRECXDB005 son por ejecucion de flash copy de bancs en la noche el cual baja todos los servicio y por ende todas las alertas del dynatrace que al momento de subir nuevamente grafica como que fuera alertado el mismo que es controlado si existe una desconexion del dynatrace en el dia el evento se disparara nuevamente validar la memoria computacional del dyboard en caso de superar 90% elevar a bdd PPECXIB003";
BDD;PRECXDB005;Memory Saturation;Memory Saturation;"1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar como ssh
3. En una consola del servidor ejecutamos el comando ""topas"".                                                                                                                                                                                   
 4. Visualizamos en la parte derecha el porcentaje de memoria computacional (% Comp). Si el porcentaje es mayor al 93% y el evento persiste m�s de 15 minutos notificar a BDD.
5. Caso contrario el evento se recupera autom�ticamente.
Nota: el evento que procede de saturacion de memoria en los nodos PRECXDB004 yPRECXDB005 son por ejecucion de flash copy de bancs en la noche el cual baja todos los servicio y por ende todas las alertas del dynatrace que al momento de subir nuevamente grafica como que fuera alertado el mismo que es controlado si existe una desconexion del dynatrace en el dia el evento se disparara nuevamente validar la memoria computacional del dyboard en caso de superar 90% elevar a bdd";
BDD;ECBPPRQ63;Bloqueo de sesiones;Bloqueo de sesiones;"""1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar.
3. Mediante un IDE nos conectamos a la base de datos MANAGER STUDIO SQL con la conexi�n                                                                                                                                                                                          4. Ejecutamos un query para validar que no se est� ejecutando un BLOQUEO    de sql                                                                                                                                             SET NOCOUNT ON 
GO

SELECT 
      HOSTNAME
      , SPID
      , loginame
      , BLOCKED
      , REPLACE (REPLACE (T.TEXT, CHAR(10), ' '), CHAR (13), ' ' ) AS BATCH 
INTO #T 
FROM sys.sysprocesses R 
      CROSS APPLY sys.dm_exec_sql_text(R.SQL_HANDLE) T 
GO
                                                                                                                                                                                                                                         
6. Reportar a base de datos en caso de que el bloqueo supere los 5 minutos ya que las alertas son autorecueoradas";
BDD;PRECWDB013;Bloqueo de sesiones;Bloqueo de sesiones;"""1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar.
3. Mediante un IDE nos conectamos a la base de datos MANAGER STUDIO SQL con la conexi�n                                                                                                                                                                                          4. Ejecutamos un query para validar que no se est� ejecutando un BLOQUEO    de sql                                                                                                                                             SET NOCOUNT ON 
GO

SELECT 
      HOSTNAME
      , SPID
      , loginame
      , BLOCKED
      , REPLACE (REPLACE (T.TEXT, CHAR(10), ' '), CHAR (13), ' ' ) AS BATCH 
INTO #T 
FROM sys.sysprocesses R 
      CROSS APPLY sys.dm_exec_sql_text(R.SQL_HANDLE) T 
GO
                                                                                                                                                                                                                                         
6. Reportar a base de datos en caso de que el bloqueo supere los 5 minutos ya que las alertas son autorecupeoradas";
BDD;ECBPPRQ48;Bloqueo de sesiones;BLOQUEO DE SESIONES;"""1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar.
3. Mediante un IDE nos conectamos a la base de datos MANAGER STUDIO SQL con la conexi�n                                                                                                                                                                                          4. Ejecutamos un query para validar que no se est� ejecutando un BLOQUEO    de sql                                                                                                                                             SET NOCOUNT ON 
GO

SELECT 
      HOSTNAME
      , SPID
      , loginame
      , BLOCKED
      , REPLACE (REPLACE (T.TEXT, CHAR(10), ' '), CHAR (13), ' ' ) AS BATCH 
INTO #T 
FROM sys.sysprocesses R 
      CROSS APPLY sys.dm_exec_sql_text(R.SQL_HANDLE) T 
GO
      Select * from #T                                                                                                                                                                                                                                   
6. Reportar a base de datos en caso de que el bloqueo supere los 15 minutos ya que las alertas son autorecupeoradas";
BDD;ECBPPRQ122;Bloqueo de sesiones;Bloqueo de sesiones;"""1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar.
3. Mediante un IDE nos conectamos a la base de datos MANAGER STUDIO SQL con la conexi�n                                                                                                                                                                                          4. Ejecutamos un query para validar que no se est� ejecutando un BLOQUEO    de sql                                                                                                                                             SET NOCOUNT ON 
GO

SELECT 
      HOSTNAME
      , SPID
      , loginame
      , BLOCKED
      , REPLACE (REPLACE (T.TEXT, CHAR(10), ' '), CHAR (13), ' ' ) AS BATCH 
INTO #T 
FROM sys.sysprocesses R 
      CROSS APPLY sys.dm_exec_sql_text(R.SQL_HANDLE) T 
GO
                                                                                                                                                                                                                                         
6. Reportar a base de datos en caso de que el bloqueo supere los 5 minutos ya que las alertas son autorecupeoradas";
BDD;ecbpprcl51;Slow Disk SQL;Slow Disk SQL;"""1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar.
3. Mediante un IDE nos conectamos a la base de datos MANAGER STUDIO SQL con la conexi�n                                                                                                                                                                                          4. Ejecutamos un query para validar que no se est� ejecutando error de I/O en el error log   
SET NOCOUNT ON     
DECLARE @fechaini DATETIME, @fechafin DATETIME;
CREATE TABLE #temperrorlog ([ErrorLogDate] DATETIME, [ProcessInfo] VARCHAR(50),[Text] NVARCHAR(4000)); 
SELECT @fechaini = DATEADD(mi,-120,GETDATE()); 

SELECT @fechafin = GETDATE();
INSERT INTO #temperrorlog (ErrorLogDate, ProcessInfo , TEXT) 
EXEC xp_readerrorlog 0,1,N'',N'',@fechaini,@fechafin;
DELETE FROM #temperrorlog WHERE [ProcessInfo] LIKE '%Logon%'
SELECT *
FROM #temperrorlog 
WHERE [Text] LIKE '%error%' OR [Text] LIKE '%Suspect%' OR [Text] LIKE '%Recovery%'
DROP TABLE #temperrorlog
GO

5 En caso de que la alerta se presente por m�s de 10 min reportar a Base de Datos.
NOTA: Al tratarse de una arquitectura de Failover Cluster, esta se compone de 2 nodos ECBPPRCL50 y ECBPPRCL51 con 2 instancias: ECBPPRQ75\Q75 y ECBPPRQ29\Q29. Cada nodo aloja una instancia. Las alertas que se presentan en Dynatrace por Slow Disk muestran el nombre del servidor (nodo), m�s no el de la instancia. Por lo tanto es importante fijarse el disco que est� alertado, esto nos adyudar� a determinar a qu� instancia debemos conectarnos para validar los procesos en ejecuci�n. Ej. R:\Disk_18_Sql_Temp_Q75\ pertenece a la instancia Q75; J:\Disk_6_Sql_Data_Q29\ pertenece a la instancia Q29.""
5 - Identificar procesos de ejecuci�n de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecuci�n con el siguiente query

EXEC sp_who2 active
EXEC sp_who3";
BDD;ECBPPRQ53;Memory Saturation;Memory Saturation;"1. Ingresar al servidor desde la herramienta CyberArk.
2 Validar el en el Task Manager el estado de la memoria del servidor.
2 Abrir el taskmager y verificar los usuarios que estan desconencados en el servidor de exisitir solicitar a wintel que cierren esas sessione en caso de no poder y se libera espacio 
3. Dentro del servidor, acceder a la herramienta Microsoft SQL Server Management Studuio.
4.  Identificar procesos de ejecuci�n de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecuci�n con el siguiente query

EXEC sp_who2 active
EXEC sp_who3
";
BDD;ecbpprq133;CPU Saturation;CPU Saturation;"1. Ingresar al servidor desde la herramienta CyberArk.
2. Validar en el Task Manager el estado del CPU.
2.1 Abrir el taskmager y verificar los usuarios que estan desconectados en el servidor, de exisitir, cerrar esas sesiones, en caso de no poder, s solicitar a wintel que cierren esas sessiones, y se liberar� espacio 
3. Dentro del servidor, acceder a la herramienta Microsoft SQL Server Management Studuio.
4.  Identificar procesos en ejecuci�n de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecuci�n con el siguiente query
EXEC sp_who2 active
EXEC sp_who3
5. Si el proceso es por ejecuci�n de backups o reindexaciones  cerrar como evento controlado.
6. Si es por compactaciones, reportar a BDD.";
BDD;TSECXDB005;CPU Saturation;CPU Saturation;"1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar.
3. Mediante un IDE nos conectamos a la base de datos PROD con la conexi�n PROD_EBS.                                                                                                                                                                                         4. Ejecutamos un query para validar que no se est� ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5. Ejecutamos un query para validar que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los  querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si no existe la ejecuci�n de estos querys se debe a la ejecuci�n del proceso batch, si el consumo es mayor a 98% en un tiempo de 5 min, escalar  a bdd.";
BDD;TSECXDB006;CPU Saturation;CPU Saturation;"1. Ingresamos al cyberark.
2. Buscamos el nombre del servidor para poder ingresar.
3. Mediante un IDE nos conectamos a la base de datos PROD con la conexi�n PROD_EBS.                                                                                                                                                                                         4. Ejecutamos un query para validar que no se est� ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5. Ejecutamos un query para validar que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los  querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si no existe la ejecuci�n de estos querys se debe a la ejecuci�n del proceso batch, si el consumo es mayor a 98% en un tiempo de 5 min, escalar  a bdd.";
